 LegendreIndex,FromIndex,ToIndex,Value
2,23,13, 1.7182929E-08
2,23,14, 5.4499395E-08
2,23,15, 1.7268799E-07
2,23,16, 5.6503894E-07
2,23,17, 2.3414102E-06
2,23,18, 7.6589096E-06
2,23,19, 2.1057160E-05
2,23,20, 3.7847348E-05
2,23,21, 3.1197531E-05
2,23,22,-1.6433989E-03
2,23,23, 6.5746302E-03
2,24,3, 5.1486817E-14
2,24,4, 2.3898240E-13
2,24,5, 1.1092559E-12
2,24,6, 5.0561676E-12
2,24,7, 1.7658185E-11
2,24,8, 5.7889205E-11
2,24,9, 1.7742985E-10
2,24,10, 5.6051377E-10
2,24,11, 1.7711162E-09
2,24,12, 5.6001904E-09
2,24,13, 1.7722705E-08
2,24,14, 5.6214700E-08
2,24,15, 1.7796881E-07
2,24,16, 6.0084257E-07
2,24,17, 2.5117349E-06
2,24,18, 8.2001270E-06
2,24,19, 2.1846261E-05
2,24,20, 3.6426955E-05
2,24,21, 2.5969517E-05
2,24,22, 1.1071520E-05
2,24,23,-7.7011953E-04
2,24,24, 6.6329641E-03
2,25,4, 1.6998736E-11
2,25,5, 3.7735119E-11
2,25,6, 1.1220604E-10
2,25,7, 2.6596983E-10
2,25,8, 7.5168050E-10
2,25,9, 1.9640446E-09
2,25,10, 5.4967395E-09
2,25,11, 1.5894120E-08
2,25,12, 4.7128684E-08
2,25,13, 1.4362809E-07
2,25,14, 5.0864952E-07
2,25,15, 1.6123926E-06
2,25,16, 5.5391961E-06
2,25,17, 2.0619913E-05
2,25,18, 7.6515586E-05
2,25,19, 2.2045259E-04
2,25,20, 6.4889535E-04
2,25,21, 1.1106481E-03
2,25,22, 1.3794814E-03
2,25,23, 5.2930639E-04
2,25,24,-1.0269111E-03
2,25,25, 3.7875138E-03
3,1,1, 5.0866696E-05
3,2,1,-1.6752274E-04
3,2,2, 2.1824326E-04
3,3,2,-1.6763249E-04
3,3,3, 2.1828827E-04
3,4,3,-1.6761992E-04
3,4,4, 2.1824378E-04
3,5,4,-1.6760006E-04
3,5,5, 2.1820669E-04
3,6,5,-1.6761374E-04
3,6,6, 2.1821441E-04
3,7,6,-1.6775374E-04
3,7,7, 2.1833337E-04
3,8,7,-1.0323463E-04
3,8,8, 1.5372800E-04
3,9,8, 1.5932902E-05
3,9,9, 3.4439832E-05
3,10,9, 1.8429240E-05
3,10,10, 3.1693404E-05
3,11,10,-3.2760428E-05
3,11,11, 8.2351408E-05
3,12,11,-3.3220582E-05
3,12,12, 8.1664821E-05
3,13,12,-1.0334803E-04
3,13,13, 1.4944625E-04
3,14,13,-1.0158813E-04
3,14,14, 1.4248024E-04
3,15,14,-1.0910542E-04
3,15,15, 1.3881601E-04
3,16,4, 1.5318918E-13
3,16,5, 6.8938893E-13
3,16,6, 3.1542550E-12
3,16,7, 1.4533085E-11
3,16,8, 6.7228719E-11
3,16,9, 3.1103759E-10
3,16,10, 1.4387946E-09
3,16,11, 6.6369614E-09
3,16,12, 5.9012788E-09
3,16,15,-9.5285997E-05
3,16,16, 1.0168421E-04
3,17,12, 2.0435983E-08
3,17,13, 1.1355779E-07
3,17,14, 4.8095316E-07
3,17,15, 1.8701109E-06
3,17,16,-8.7278127E-05
3,17,17, 5.3359755E-05
3,18,8, 6.6188104E-14
3,18,9, 3.0547208E-13
3,18,10, 1.4130793E-12
3,18,11, 6.5573477E-12
3,18,12, 3.6129646E-11
3,18,13, 1.8821777E-10
3,18,14, 9.0016838E-10
3,18,15, 4.6083923E-09
3,18,16, 2.4920021E-08
3,18,17,-3.3681308E-06
3,18,18,-1.0518600E-04
3,19,9, 5.3796273E-14
3,19,10, 2.4829492E-13
3,19,11, 1.1482384E-12
3,19,12, 4.6721706E-12
3,19,13, 1.1417342E-11
3,19,14, 2.7416551E-11
3,19,15, 7.3006004E-11
3,19,16, 2.8097583E-10
3,19,17, 1.5322707E-07
3,19,18, 2.1702638E-04
3,19,19,-4.0187308E-05
3,20,5, 4.9997922E-14
3,20,6, 3.8103369E-13
3,20,7, 1.5174569E-12
3,20,8, 5.8554989E-12
3,20,9, 2.4735065E-11
3,20,10, 1.0946072E-10
3,20,11, 4.9507548E-10
3,20,12, 2.0684652E-09
3,20,13, 8.6314183E-09
3,20,14, 3.4998598E-08
3,20,15, 1.1711567E-07
3,20,16, 3.3843696E-07
3,20,17, 9.0032197E-07
3,20,18, 2.9613300E-07
3,20,19, 8.8392915E-05
3,20,20, 1.4043632E-03
3,21,5, 1.8078836E-13
3,21,6, 9.6611106E-13
3,21,7, 4.8607380E-12
3,21,8, 2.0197466E-11
3,21,9, 8.7968763E-11
3,21,10, 3.9318061E-10
3,21,11, 1.6846314E-09
3,21,12, 6.1007761E-09
3,21,13, 2.1714680E-08
3,21,14, 7.8533393E-08
3,21,15, 2.7889550E-07
3,21,16, 1.0317401E-06
3,21,17, 3.8855813E-06
3,21,18, 1.3344651E-05
3,21,19, 2.2987254E-05
