 LegendreIndex,FromIndex,ToIndex,Value
2,18,9, 1.2920952E-10
2,18,10, 6.0134774E-10
2,18,11, 2.7906032E-09
2,18,12, 1.3577272E-08
2,18,13, 6.0010498E-08
2,18,14, 2.7701662E-07
2,18,15, 1.3122335E-06
2,18,16, 6.0413595E-06
2,18,17,-1.5330794E-03
2,18,18, 1.5464551E-02
2,19,6, 1.1132048E-13
2,19,7, 7.9312489E-13
2,19,8, 3.9225519E-12
2,19,9, 2.6785552E-11
2,19,10, 1.2439840E-10
2,19,11, 5.7665224E-10
2,19,12, 2.7959529E-09
2,19,13, 1.5353265E-08
2,19,14, 5.2051614E-08
2,19,15, 1.8183003E-07
2,19,16, 8.8721573E-07
2,19,17, 2.8007285E-05
2,19,18,-2.4254289E-03
2,19,19, 1.7319828E-02
2,20,3, 8.4199611E-14
2,20,4, 2.9271083E-13
2,20,5, 8.7475911E-12
2,20,6, 6.2512845E-11
2,20,7, 2.4537853E-10
2,20,8, 9.4109026E-10
2,20,9, 3.9517171E-09
2,20,10, 1.7389623E-08
2,20,11, 7.8319093E-08
2,20,12, 3.2653344E-07
2,20,13, 1.3600609E-06
2,20,14, 5.5082081E-06
2,20,15, 1.8431604E-05
2,20,16, 5.3362119E-05
2,20,17, 1.4235821E-04
2,20,18, 5.0972467E-05
2,20,19,-1.1051141E-04
2,20,20, 4.4012683E-02
2,21,3, 1.2444581E-13
2,21,4, 5.4295416E-13
2,21,5, 3.0187975E-11
2,21,6, 1.5759568E-10
2,21,7, 7.7836840E-10
2,21,8, 3.2119511E-09
2,21,9, 1.3924396E-08
2,21,10, 6.1996139E-08
2,21,11, 2.6497142E-07
2,21,12, 9.5875029E-07
2,21,13, 3.4102052E-06
2,21,14, 1.2325013E-05
2,21,15, 4.3747169E-05
2,21,16, 1.6173875E-04
2,21,17, 6.0876406E-04
2,21,18, 2.0893423E-03
2,21,19, 3.6026257E-03
2,21,20,-7.0961412E-04
2,21,21, 3.1894818E-02
2,22,3, 1.2332151E-11
2,22,4, 5.4216335E-11
2,22,5, 2.0677617E-10
2,22,6, 6.9967447E-10
2,22,7, 2.3093763E-09
2,22,8, 6.8482788E-09
2,22,9, 2.1674973E-08
2,22,10, 6.8700123E-08
2,22,11, 2.1760162E-07
2,22,12, 6.8820793E-07
2,22,13, 2.1793740E-06
2,22,14, 6.9024175E-06
2,22,15, 2.1855545E-05
2,22,16, 7.1289492E-05
2,22,17, 2.9440417E-04
2,22,18, 9.8311082E-04
2,22,19, 3.4883081E-03
2,22,20, 7.8509006E-03
2,22,21, 3.3127623E-03
2,22,22, 2.6288588E-02
2,23,3, 9.7259894E-12
2,23,4, 4.5144382E-11
2,23,5, 2.0919256E-10
2,23,6, 8.2961402E-10
2,23,7, 2.7548480E-09
2,23,8, 8.7379618E-09
2,23,9, 2.6894783E-08
2,23,10, 8.5281980E-08
2,23,11, 2.7001895E-07
2,23,12, 8.5392931E-07
2,23,13, 2.6993051E-06
2,23,14, 8.5613755E-06
2,23,15, 2.7127452E-05
2,23,16, 8.8744647E-05
2,23,17, 3.6726215E-04
2,23,18, 1.2004187E-03
2,23,19, 3.3000609E-03
